product_id,product_name,category,unit_price_cents,is_active
1,Right-sized impactful capability,Sports & Outdoors,22303,True
2,Focused interactive success,Books,4027,True
3,Proactive even-keeled task-force,Books,4862,True
4,Universal zero administration paradigm,Beauty,9654,True
5,Reverse-engineered encompassing system engine,Apparel,12605,True
6,Stand-alone impactful help-desk,Apparel,2386,True
7,Phased static portal,Books,1137,True
8,Open-architected mobile migration,Beauty,7533,True
9,Grass-roots client-server throughput,Toys,10988,True
10,Persevering bi-directional capability,Electronics,56088,False
11,Function-based mobile methodology,Sports & Outdoors,12063,True
12,Focused responsive challenge,Beauty,8038,True
13,Assimilated bandwidth-monitored support,Sports & Outdoors,6575,True
14,Business-focused asymmetric methodology,Electronics,34891,True
15,Synergistic 4thgeneration conglomeration,Books,4792,True
16,Multi-tiered real-time service-desk,Apparel,11167,True
17,Inverse coherent framework,Home & Kitchen,22827,True
18,Secured regional attitude,Electronics,69910,True
19,Virtual asynchronous protocol,Beauty,8855,True
20,Versatile multi-state throughput,Apparel,12448,True
21,Proactive maximized customer loyalty,Apparel,22149,True
22,Implemented stable methodology,Home & Kitchen,7737,True
23,Pre-emptive motivating firmware,Home & Kitchen,12370,True
24,Quality-focused global workforce,Apparel,22479,True
25,Quality-focused needs-based adapter,Apparel,21576,True
26,Virtual 5thgeneration Internet solution,Apparel,19472,True
27,Decentralized human-resource knowledge user,Books,5124,True
28,Intuitive homogeneous intranet,Beauty,5795,True
29,Persevering 5thgeneration alliance,Toys,5679,True
30,Enhanced next generation protocol,Electronics,64462,True
31,Vision-oriented exuding strategy,Sports & Outdoors,18801,True
32,Down-sized mobile Internet solution,Sports & Outdoors,34048,True
33,Devolved fault-tolerant structure,Books,4202,False
34,Networked mobile task-force,Sports & Outdoors,19613,True
35,Customizable non-volatile service-desk,Apparel,3958,True
36,Pre-emptive stable neural-net,Beauty,6799,True
37,Synergized needs-based orchestration,Beauty,13473,True
38,Phased methodical open architecture,Electronics,61947,True
39,Diverse motivating approach,Beauty,11179,True
40,Object-based empowering methodology,Beauty,8292,True
41,Reverse-engineered homogeneous pricing structure,Electronics,62050,True
42,Synergistic heuristic throughput,Apparel,12253,True
43,Horizontal fresh-thinking approach,Electronics,69132,True
44,Assimilated optimizing analyzer,Electronics,35472,True
45,De-engineered high-level hardware,Books,4793,True
46,User-centric optimal algorithm,Home & Kitchen,24848,True
47,Virtual responsive Graphical User Interface,Sports & Outdoors,26189,True
48,Multi-tiered bandwidth-monitored interface,Sports & Outdoors,4231,True
49,Monitored heuristic installation,Toys,5982,True
50,Monitored analyzing protocol,Electronics,76133,True
51,Fully-configurable dynamic encoding,Sports & Outdoors,17314,True
52,Stand-alone fault-tolerant parallelism,Toys,10374,True
